time,Year,SiteName,n,nCheck,modMedian,modMean,modci90lo,modci90up,rawMean,text
-11,2005,Carrickalinga Head,4000,4000,878.5367337208303,1075.9953925703962,313.57997792765855,2525.7496304054916,6.7809741765599645,878.5 (313.6 to 2525.7)
-11,2005,Carrickalinga South Bay,4000,4000,392.0441350790378,469.0377008261485,138.89237094831213,1047.9114470423785,5.966929243903274,392 (138.9 to 1047.9)
-11,2005,Dodd's Beach,4000,4000,348.5570933479147,424.2021282514073,122.10854124573319,978.1853709641807,5.84746905300888,348.6 (122.1 to 978.2)
-11,2005,Flat Irons,4000,4000,478.83192749550994,588.5391247498012,171.3794454722882,1348.546233880994,6.178519152815958,478.8 (171.4 to 1348.5)
-11,2005,Newland Head,4000,4000,478.58399295691373,587.7742529901841,160.21802044574034,1409.4229299225376,6.1603088352401185,478.6 (160.2 to 1409.4)
-11,2005,Outside Granite Island,4000,4000,360.2194845193503,431.30687744006224,129.38609212265993,963.9894601399162,5.877089398483739,360.2 (129.4 to 964)
-11,2005,Rapid Head Windmill,4000,4000,630.5094594341841,772.3859426459184,221.03509385258823,1801.1789535882715,6.448253231202492,630.5 (221 to 1801.2)
-11,2005,Ripple Rock,4000,4000,543.2567804934911,650.9420681957283,183.0778866392299,1475.2771399258982,6.276493542984897,543.3 (183.1 to 1475.3)
-11,2005,Shag Rock Carrickalinga,4000,4000,490.62691838369653,603.0599943867085,174.85177055060373,1411.3037913321211,6.195458510135481,490.6 (174.9 to 1411.3)
-11,2005,The Bluff,4000,4000,269.8307345387441,328.12478237364013,97.20818470019104,756.6871696686114,5.599330647299866,269.8 (97.2 to 756.7)
-11,2005,West Island Outer,4000,4000,466.01038263314285,579.7075551194687,159.31073973933508,1367.213175947462,6.150458918324918,466 (159.3 to 1367.2)
-10,2006,Carrickalinga Head,4000,4000,847.041795681288,1031.697088817533,298.6156938914699,2381.362841035977,6.745654575199163,847 (298.6 to 2381.4)
-10,2006,Carrickalinga South Bay,4000,4000,419.81025631278993,503.46470456518006,151.4842205361237,1149.6703860911807,6.036024777945704,419.8 (151.5 to 1149.7)
-10,2006,Dodd's Beach,4000,4000,344.65589774681047,416.8566301015318,126.16100626096691,957.8613254678594,5.841936358121199,344.7 (126.2 to 957.9)
-10,2006,Outside Granite Island,4000,4000,371.7030818181679,457.13005166739964,138.37387404178915,1034.3972229782883,5.933222278038613,371.7 (138.4 to 1034.4)
-10,2006,Rapid Head Windmill,4000,4000,625.024277183848,765.6664449300824,225.85541721079136,1732.355157764282,6.445362689398119,625 (225.9 to 1732.4)
-10,2006,Ripple Rock,4000,4000,548.9045242371232,667.8073665223043,191.67584733978046,1495.9129009293529,6.310732251629752,548.9 (191.7 to 1495.9)
-10,2006,Shag Rock Carrickalinga,4000,4000,542.9935596831094,645.3773009781484,184.82663533537806,1463.7351197973805,6.277013583979755,543 (184.8 to 1463.7)
-10,2006,The Bluff,4000,4000,285.64685695093965,343.1449248284005,108.19053571125426,772.5432257945923,5.656050628968831,285.6 (108.2 to 772.5)
-9,2007,Carrickalinga Head,4000,4000,818.5540691051117,988.9085729382192,307.8766064473163,2178.269502914673,6.712944185382168,818.6 (307.9 to 2178.3)
-9,2007,Carrickalinga South Bay,4000,4000,438.1822405046215,522.5453573732117,155.92179261428552,1181.7320806634154,6.075781866505332,438.2 (155.9 to 1181.7)
-9,2007,Dodd's Beach,4000,4000,344.40668958281134,425.0871332637417,127.95454435044999,974.5669760032453,5.853929160986347,344.4 (128 to 974.6)
-9,2007,Fishery Beach,4000,4000,565.9385473468415,713.2211800099847,190.00890592846585,1698.6436320878825,6.341817440795682,565.9 (190 to 1698.6)
-9,2007,Flat Irons,4000,4000,492.6384140508085,594.5587048690388,175.84658258924483,1370.0045364561486,6.195877718322667,492.6 (175.8 to 1370)
-9,2007,Newland Head,4000,4000,538.1673966975156,654.8187565239467,180.78863276848395,1495.153127882612,6.279118762795455,538.2 (180.8 to 1495.2)
